bird_id,colony,visit_count
XL1603-PYWM,LLOD_17,298
XL1604-KKPM,LLOD_12,11
XL1604-KKPM,LLOD_17,167
XL1612-PORM,LLOD_17,377
XL1615-WBRM,LLOD_04,270
XL1615-WBRM,LLOD_05,1
XL1617-OBYM,LLOD_05,1186
XL1618-RKOM,LLOD_05,1303
XL1618-RKOM,LLOD_06,1
XL1622-RYKM,LLOD_04,152
XL1622-RYKM,LLOD_05,12
XL1623-WOBM,LLOD_04,2734
XL1623-WOBM,LLOD_05,43
XL1624-BOPM,LLOD_05,828
XL1626-RMYR,SPRA_01,2
XL1626-RMYR,SPRA_02,1398
XL1628-KMKY,SPRA_02,1676
XL1628-KMKY,SPRA_42,6
XL1629-YMWK,SPRA_49,181
XL1633-KBOM,LLOD_17,339
XL1633-KBOM,SPRA_42,1
XL1658-WOKM,LLOD_20,300
XL1662-BKWM,LLOD_04,15
XL1662-BKWM,LLOD_05,420
XL1663-KWYM,LLOD_05,2418
XL1664-OKYM,LLOD_05,1747
XL1665-RYWM,LLOD_04,1
XL1665-RYWM,LLOD_05,230
XL1668-YOBM,LLOD_05,429
XL1670-RBKM,LLOD_05,2246
XL1670-RBKM,LLOD_06,1
XL1671-KBPM,LLOD_05,316
XL1672-POBM,LLOD_04,23
XL1672-POBM,LLOD_05,433
XL1673-PWKM,LLOD_05,17
XL1674-OWOM,LLOD_04,198
XL1674-OWOM,LLOD_05,251
XL1680-YOKM,LLOD_20,600
XL1690-RYBM,LLOD_04,3026
XL1690-RYBM,LLOD_05,23
XL1694-MWROO,MSTO_28,649
XL1695-MWRRR,MSTO_28,595
XL1695-MWRRR,MSTO_31,2
XL1699-WRMRB,SPRA_42,1341
l00105-MOWP,MSTO_29,171
